档位,重量依据,重量上限(g),产品类别,售价≤$10($),售价$10-$50($),售价>$50($)
小号标准件,实际重量,56.75,常规类产品,2.43,3.32,3.58
小号标准件,实际重量,56.75,服装产品,2.62,3.51,3.77
小号标准件,实际重量,56.75,危险品,3.4,4.29,4.55
小号标准件,实际重量,113.5,常规类产品,2.49,3.42,3.68
小号标准件,实际重量,113.5,服装产品,2.64,3.54,3.8
小号标准件,实际重量,113.5,危险品,3.43,4.36,4.62
小号标准件,实际重量,170.25,常规类产品,2.56,3.45,3.71
小号标准件,实际重量,170.25,服装产品,2.68,3.59,3.85
小号标准件,实际重量,170.25,危险品,3.48,4.37,4.63
小号标准件,实际重量,227,常规类产品,2.66,3.54,3.8
小号标准件,实际重量,227,服装产品,2.81,3.69,3.95
小号标准件,实际重量,227,危险品,3.55,4.43,4.69
小号标准件,实际重量,283.75,常规类产品,2.77,3.68,3.94
小号标准件,实际重量,283.75,服装产品,3,3.91,4.17
小号标准件,实际重量,283.75,危险品,3.64,4.55,4.81
小号标准件,实际重量,340.5,常规类产品,2.82,3.78,4.04
小号标准件,实际重量,340.5,服装产品,3.1,4.09,4.35
小号标准件,实际重量,340.5,危险品,3.65,4.61,4.87
小号标准件,实际重量,397.25,常规类产品,2.92,3.91,4.17
小号标准件,实际重量,397.25,服装产品,3.2,4.2,4.46
小号标准件,实际重量,397.25,危险品,3.73,4.72,4.98
小号标准件,实际重量,454,常规类产品,2.95,3.96,4.22
小号标准件,实际重量,454,服装产品,3.3,4.25,4.51
小号标准件,实际重量,454,危险品,3.77,4.78,5.04
大号标准件,计费重量,1135,常规类产品,2.91,,
大号标准件,计费重量,1135,服装产品,,,
大号标准件,计费重量,1135,危险品,,,
大号标准件,计费重量,1814,常规类产品,,,
大号标准件,计费重量,1814,服装产品,,,
大号标准件,计费重量,1814,危险品,,,
大号标准件,计费重量,2268,常规类产品,,,
大号标准件,计费重量,2268,服装产品,,,
大号标准件,计费重量,2268,危险品,,,
大号标准件,计费重量,3402,常规类产品,,,
大号标准件,计费重量,3402,服装产品,,,
大号标准件,计费重量,3402,危险品,,,
大号标准件,计费重量,5443,常规类产品,,,
大号标准件,计费重量,5443,服装产品,,,
大号标准件,计费重量,5443,危险品,,,
大号标准件,计费重量,7258,常规类产品,,,
大号标准件,计费重量,7258,服装产品,,,
大号标准件,计费重量,7258,危险品,,,
大号标准件,计费重量,9080,常规类产品,,,
大号标准件,计费重量,9080,服装产品,,,
大号标准件,计费重量,9080,危险品,,,
小号大件,计费重量,2268,常规类产品,,,
小号大件,计费重量,2268,服装产品,,,
小号大件,计费重量,2268,危险品,,,
小号大件,计费重量,4535,常规类产品,,,
小号大件,计费重量,4535,服装产品,,,
小号大件,计费重量,4535,危险品,,,
小号大件,计费重量,9070,常规类产品,,,
小号大件,计费重量,9070,服装产品,,,
小号大件,计费重量,9070,危险品,,,
小号大件,计费重量,13607,常规类产品,,,
小号大件,计费重量,13607,服装产品,,,
小号大件,计费重量,13607,危险品,,,
小号大件,计费重量,18143,常规类产品,,,
小号大件,计费重量,18143,服装产品,,,
小号大件,计费重量,18143,危险品,,,
小号大件,计费重量,22680,常规类产品,,,
小号大件,计费重量,22680,服装产品,,,
小号大件,计费重量,22680,危险品,,,
大号大件,计费重量,2268,常规类产品,,,
大号大件,计费重量,2268,服装产品,,,
大号大件,计费重量,2268,危险品,,,
大号大件,计费重量,4535,常规类产品,,,
大号大件,计费重量,4535,服装产品,,,
大号大件,计费重量,4535,危险品,,,
大号大件,计费重量,9070,常规类产品,,,
大号大件,计费重量,9070,服装产品,,,
大号大件,计费重量,9070,危险品,,,
大号大件,计费重量,13607,常规类产品,,,
大号大件,计费重量,13607,服装产品,,,
大号大件,计费重量,13607,危险品,,,
大号大件,计费重量,18143,常规类产品,,,
大号大件,计费重量,18143,服装产品,,,
大号大件,计费重量,18143,危险品,,,
大号大件,计费重量,22680,常规类产品,,,
大号大件,计费重量,22680,服装产品,,,
大号大件,计费重量,22680,危险品,,,
超大件,计费重量,22875,常规类产品,,,
超大件,计费重量,22875,服装产品,,,
超大件,计费重量,22875,危险品,,,
超大件,计费重量,31745,常规类产品,,,
超大件,计费重量,31745,服装产品,,,
超大件,计费重量,31745,危险品,,,
超大件,计费重量,68038,常规类产品,,,
超大件,计费重量,68038,服装产品,,,
超大件,计费重量,68038,危险品,,,
特大件,计费重量,不限,常规类产品,,,
特大件,计费重量,不限,服装产品,,,
特大件,计费重量,不限,危险品,,,
极大件,计费重量,不限,常规类产品,,,
极大件,计费重量,不限,服装产品,,,
极大件,计费重量,不限,危险品,,,
